Algorithm	recommender	attack	iteration	eps	size	best	EFD_Top10	EPC_Top10	Gini_Top10	ICov_Top10	Prec_Top10	Recall_Top10	SE_Top10	UCov	nDCG_Top10
bim230_ep0.5_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	bim	230	0.5	full	0	0.005631436619376	0.000457616925032	0.015418702129751	476	0.000596026490066	0.005960264900662	6.22487421144654	6040	0.002545334990323
pgd300_ep1.0_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	pgd	300	1	full	0	0	0	0.052069111903549	1089	0	0	7.86696728996889	6040	0
bim30_ep2.0_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	bim	30	2	full	0	0.028778565892667	0.001906061228061	0.012902270960131	434.999999999999	0.003162251655629	0.031622516556291	5.90968613471693	6040	0.015183851207889
bim410_ep0.5_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	bim	410	0.5	full	0	0.001619635105757	0.00012799328974	0.030345210964242	787	9.93377483443709E-05	0.000993377483444	6.96568431698269	6040	0.000604105663927
pgd190_ep1.0_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	pgd	190	1	full	0	0.001510717025311	0.000119782990406	0.024088800707832	704	0.000115894039735	0.001158940397351	6.74219340610566	6040	0.000565302621502
pgd80_ep0.5_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	pgd	80	0.5	full	0	0.032300500687545	0.002127026449333	0.011768265544146	494	0.003526490066225	0.035264900662252	5.74496099871198	6040	0.017075637926739
pgd360_ep0.5_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	pgd	360	0.5	full	0	0.00050181720684	4.02021165935884E-05	0.023578974180229	633	4.96688741721854E-05	0.000496688741722	6.73173380008622	6040	0.000190540181894
pgd210_ep1.0_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	pgd	210	1	full	0	0.000707279038627	5.70027701979107E-05	0.031673021065144	821	4.96688741721854E-05	0.000496688741722	7.06313939038372	6040	0.000272396028713
bim10_ep1.0_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	bim	10	1	full	0	0.045184932444601	0.003083027938024	0.018129509969524	915.999999999999	0.004867549668874	0.048675496688742	6.00864667100612	6040	0.023371675493181
bim400_ep1.0_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	bim	400	1	full	0	0	0	0.056234808876496	1187	0	0	7.85488970923354	6040	0
